osmid,name,anlik_risk,geometry
892664cb51bffff,"H3:892664cb51bffff (suc=4, lamba_ariza=14)",24.88,"LINESTRING (-87.77234586368456 41.953033302216674, -87.77234586368456 41.953033302216674)"
892664cca47ffff,"H3:892664cca47ffff (suc=16, lamba_ariza=13)",53.0,"LINESTRING (-87.6239159158408 41.723710070324465, -87.6239159158408 41.723710070324465)"
892664ca5bbffff,"H3:892664ca5bbffff (suc=12, lamba_ariza=18)",47.59,"LINESTRING (-87.68076753556605 41.944775368760865, -87.68076753556605 41.944775368760865)"
892664ca0cfffff,"H3:892664ca0cfffff (suc=7, lamba_ariza=8)",28.0,"LINESTRING (-87.72478778539926 41.943704447742185, -87.72478778539926 41.943704447742185)"
892664c846fffff,"H3:892664c846fffff (suc=24, lamba_ariza=10)",62.37,"LINESTRING (-87.7648482843216 41.90490864787002, -87.7648482843216 41.90490864787002)"
892664cf51bffff,"H3:892664cf51bffff (suc=28, lamba_ariza=17)",72.88,"LINESTRING (-87.62573913663869 41.840837454024076, -87.62573913663869 41.840837454024076)"
892664ca477ffff,"H3:892664ca477ffff (suc=24, lamba_ariza=21)",71.83,"LINESTRING (-87.71264844768262 41.953718913080536, -87.71264844768262 41.953718913080536)"
892664d8a47ffff,"H3:892664d8a47ffff (suc=14, lamba_ariza=19)",54.45,"LINESTRING (-87.71002991101653 41.97873829849804, -87.71002991101653 41.97873829849804)"
8926645204bffff,"H3:8926645204bffff (suc=3, lamba_ariza=14)",22.57,"LINESTRING (-87.79445286281727 41.796623119901355, -87.79445286281727 41.796623119901355)"
892664c1e0fffff,"H3:892664c1e0fffff (suc=286, lamba_ariza=66)",99.84,"LINESTRING (-87.6276278996002 41.89248407232753, -87.6276278996002 41.89248407232753)"
89275934d87ffff,"H3:89275934d87ffff (suc=1, lamba_ariza=17)",19.2,"LINESTRING (-87.83981567354573 41.96209861599933, -87.83981567354573 41.96209861599933)"
892664cc493ffff,"H3:892664cc493ffff (suc=73, lamba_ariza=28)",93.5,"LINESTRING (-87.60258394445219 41.81148176347371, -87.60258394445219 41.81148176347371)"
892664c84a7ffff,"H3:892664c84a7ffff (suc=31, lamba_ariza=15)",74.05,"LINESTRING (-87.742517322557 41.910973465915646, -87.742517322557 41.910973465915646)"
892664cd54bffff,"H3:892664cd54bffff (suc=13, lamba_ariza=31)",57.53,"LINESTRING (-87.68511124827413 41.793796990381914, -87.68511124827413 41.793796990381914)"
892664c1ecfffff,"H3:892664c1ecfffff (suc=28, lamba_ariza=13)",69.28,"LINESTRING (-87.63237205146329 41.899983936599874, -87.63237205146329 41.899983936599874)"
892664ca54bffff,"H3:892664ca54bffff (suc=12, lamba_ariza=14)",46.84,"LINESTRING (-87.70489126545773 41.94392795512181, -87.70489126545773 41.94392795512181)"
892664cc47bffff,"H3:892664cc47bffff (suc=29, lamba_ariza=18)",74.62,"LINESTRING (-87.62015957210482 41.797960685390464, -87.62015957210482 41.797960685390464)"
892664cd027ffff,"H3:892664cd027ffff (suc=29, lamba_ariza=32)",81.28,"LINESTRING (-87.69124680543776 41.77923248120214, -87.69124680543776 41.77923248120214)"
89266452d4bffff,"H3:89266452d4bffff (suc=4, lamba_ariza=13)",23.66,"LINESTRING (-87.7317336818926 41.74863998879405, -87.7317336818926 41.74863998879405)"
892664cb1a3ffff,"H3:892664cb1a3ffff (suc=21, lamba_ariza=15)",62.73,"LINESTRING (-87.76648384075725 41.929282769843354, -87.76648384075725 41.929282769843354)"
892664ca4d7ffff,"H3:892664ca4d7ffff (suc=33, lamba_ariza=19)",78.52,"LINESTRING (-87.71072433702425 41.967687484542516, -87.71072433702425 41.967687484542516)"
89266452313ffff,"H3:89266452313ffff (suc=6, lamba_ariza=8)",24.41,"LINESTRING (-87.78615908339401 41.7787441997056, -87.78615908339401 41.7787441997056)"
892664cf087ffff,"H3:892664cf087ffff (suc=42, lamba_ariza=48)",91.76,"LINESTRING (-87.64260961932128 41.83834045216003, -87.64260961932128 41.83834045216003)"
892664cc0c3ffff,"H3:892664cc0c3ffff (suc=50, lamba_ariza=33)",91.95,"LINESTRING (-87.62385458016443 41.78922260327386, -87.62385458016443 41.78922260327386)"
892664cd04bffff,"H3:892664cd04bffff (suc=9, lamba_ariza=16)",39.45,"LINESTRING (-87.71459295608773 41.78941506743496, -87.71459295608773 41.78941506743496)"
